molecule_id,smiles,mol_weight,logp,hbd,hba,source
DL_00180,CCNC(=O)Nc1nc2cc(-c3cccnc3)cc(-c3cnn(C)c3)n2n1,362.3970000000001,2.3331999999999997,2,7,downloaded
DL_00187,CCNc1cccnc1N1CCN(C(=O)c2cnc3ccccc3c2)CC1,361.44900000000007,3.024000000000002,1,5,downloaded
DL_00189,CCCCCn1cc(C(=O)NC2C3CC4CC(C3)CC2C4)c(=O)c2ccccc21,392.5430000000002,4.746200000000004,1,3,downloaded
DL_00190,OC(/C=C/C=C/c1ccccc1)CCc1ccccc1,264.368,4.249700000000003,1,1,downloaded
DL_00191,Cl.c1ccc(CCC2=NOC(c3ccccc3)C2)cc1,287.7900000000001,4.558600000000003,0,2,downloaded
DL_00204,CCCC(C)(C)C(=O)N[C@H]1CCCCNC1=O,240.34699999999995,1.5975999999999997,2,2,downloaded
DL_00207,O=C(CCc1ccc(F)cc1)N[C@H]1CCOC1=O,251.25699999999998,1.19,1,3,downloaded
DL_00210,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](C(=O)O)C(C)C)cc1,446.5070000000001,3.1226200000000013,3,6,downloaded
DL_00211,CN(C)c1cccc2c(S(=O)(=O)Nc3cnc(Br)cn3)cccc12,407.293,3.259100000000001,1,5,downloaded
DL_00212,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1c(-c2cc(OC)ccc2OC)nc2sccn12,483.5460000000002,3.6608000000000027,1,10,downloaded
DL_00216,Cl/C=C/CCl,110.97100000000002,1.9777,0,0,downloaded
DL_00225,COC[C@H]1OC(O)=C2C1=NC1=C(C(=O)COC1)[C@H]2c1ccc(F)c(Br)c1,424.222,2.794600000000001,1,6,downloaded
DL_00226,CC1CCN(C(=O)[C@H](CCCNc2ccccn2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,480.63400000000024,4.032500000000002,2,5,downloaded
DL_00227,O=C1NC(Cc2c[nH]c3ccccc23)C(=O)N2C(c3ccccc3)c3[nH]c4ccccc4c3C[C@@H]12,460.5370000000002,4.233000000000002,3,2,downloaded
DL_00228,O=C(O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CS)C1CCc2cc(O)ccc21,424.5220000000002,3.261400000000002,5,4,downloaded
DL_00230,CC(C)(C(=O)O)c1cccnc1Nc1ccc(Cl)cc1,290.75,3.8408000000000015,2,3,downloaded
DL_00233,CCS(=O)(=O)c1ccc2oc(Cc3ccc(C)cc3)nc2c1,315.394,3.5206200000000027,0,4,downloaded
DL_00234,CCCNC(=O)[C@H](N)[C@@H](O)c1ccc([N+](=O)[O-])cc1,267.28499999999997,0.4817,3,5,downloaded
DL_00235,CCOc1cc2cc3[n+](cc2cc1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],385.8470000000001,0.4903999999999997,0,4,downloaded
DL_00238,CCOC(=O)C(O)(c1ccc[nH]1)C(F)(F)F,237.17699999999996,1.3276999999999999,2,3,downloaded
DL_00249,CCc1c(C#N)c(-c2ccc(-c3ccc(OC)cc3)cc2)c(C(=O)O)n1C,360.41300000000007,4.499980000000003,1,4,downloaded
DL_00250,Cc1c(N2CC[C@@H]([C@H](C)N)C2)c(F)cc2c(=O)n(N)c(=O)n(C3CC3)c12,361.4210000000001,0.8329200000000004,2,7,downloaded
DL_00253,CC1=NOC(=O)/C1=C\c1cccs1,193.227,2.0642000000000005,0,4,downloaded
DL_00261,CCN(CC)Cc1c[nH]c(C)c(O)c1=O,210.277,1.2307199999999998,2,3,downloaded
DL_00270,Cn1c(CSCC(=O)Nc2ccccc2)nnc1SCC(=O)Nc1ccccc1,427.5550000000002,3.4178000000000015,2,7,downloaded
DL_00272,CC(C)(N)CNC(=O)C[C@@H]1CCC[C@]2(C1)OOC1(O2)C2CC3CC(C2)CC1C3,392.5400000000002,3.247300000000001,2,5,downloaded
DL_00276,COc1ccccc1N1CCN(CC(O)c2ccc(O)c(C(N)=O)c2)CC1.Cl,407.8980000000002,1.7771,3,6,downloaded
DL_00278,CCCN1CCO[C@H]2c3cc(C(N)=O)ccc3CC[C@@H]21,274.364,1.8836,1,3,downloaded
DL_00279,Fc1ccc(-c2nn3cc(Cl)ccc3c2-c2ccncc2)cc1,323.75800000000004,4.855800000000003,0,3,downloaded
DL_00281,CN1C(=O)[C@@H](N)CCCC/C=C/C[C@@H](C(=O)NCc2ccccc2)NC(=O)[C@@H]1Cc1ccc(O)cc1,492.6200000000002,2.4105000000000008,4,5,downloaded
DL_00286,Cl.O=C(Nc1ccc(C2=NCCN2)cn1)c1sc2ccccc2c1Cl,393.2990000000001,3.973600000000002,2,5,downloaded
DL_00289,CCN(CC)/C(=N\C#N)C1=CC(C)(C)Oc2ccc([N+](=O)[O-])cc21,328.37200000000007,3.370580000000002,0,5,downloaded
DL_00290,CC(C)(C)c1ccc(C(=O)NC(=O)Nc2cccc(C3CN4CCSC4=N3)c2)cc1,422.5540000000002,4.4055000000000035,2,5,downloaded
DL_00291,COc1cccc(CN2CCC[C@@H]2[C@H](O)CNC(C)(C)Cc2ccc3ccccc3c2)c1,432.6080000000002,4.784600000000005,2,4,downloaded
